PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=41.2 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=125 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=217 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=270 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=361 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=539 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=630 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=741 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=821 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=931 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=1037 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=1147 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=1238 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=1349 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=1421 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=1438 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=1435 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=1415 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=1403 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=1397 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=1410 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=1387 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=1410 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=1382 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=1412 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=1364 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=1314 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=1253 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=1200 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=1148 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=1097 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=1044 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=941 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=881 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=774 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=790 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=787 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=785 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=781 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=786 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=797 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=792 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=791 ms
